approvedOn,verifiedAt,name,product,sector,state,stage,note,sourceLabel,sourceUrl
2026-01-02,2026-09-24,India Circuits Private Limited,PCB（本批次涵盖 HDI，单家具体规格需核实）,PCB / PCBA,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1
2026-01-02,2026-09-24,Vital Electronics Private Limited,PCB（本批次涵盖 HDI，单家具体规格需核实）,PCB / PCBA,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1
2026-01-02,2026-09-24,Signum Electronics Limited,PCB（本批次涵盖 HDI，单家具体规格需核实）,PCB / PCBA,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1
2026-01-02,2026-09-24,Epitome Components Private Limited,PCB（本批次涵盖 HDI，单家具体规格需核实）,PCB / PCBA,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1
2026-01-02,2026-09-24,AT & S India Private Limited,PCB（本批次涵盖 HDI，单家具体规格需核实）,PCB / PCBA,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1
2026-01-02,2026-09-24,Ascent-K Circuit Private Ltd,PCB（本批次涵盖 HDI，单家具体规格需核实）,PCB / PCBA,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1
2026-01-02,2026-09-24,CIPSA TEC India Pvt Ltd,PCB（本批次涵盖 HDI，单家具体规格需核实）,PCB / PCBA,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1
2026-01-02,2026-09-24,Shogini Technoarts Pvt Ltd,PCB（本批次涵盖 HDI，单家具体规格需核实）,PCB / PCBA,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1
2026-01-02,2026-09-24,BPL Limited,PCB（本批次涵盖 HDI，单家具体规格需核实）,PCB / PCBA,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210864&lang=1&reg=1
2026-08-17,2026-09-24,Wipro Global Engineering and Electronic Materials Private Limited,覆铜板（追加投资申请）,PCB / PCBA,未在本条公告单独注明,官方公布获批,"官方批准追加投资 ₹1,033 crore；该项目实际投产与新增产能仍需独立确认。",印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300625&lang=1&reg=48
2026-08-17,2026-09-24,Amphenol Interconnect India Private Limited,连接器,服务器与电子制造,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300625&lang=1&reg=48
2026-08-17,2026-09-24,Ennovi Mobility Solutions India Private Limited,连接器,服务器与电子制造,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300625&lang=1&reg=48
2026-08-17,2026-09-24,Rosenberger Interconnect India Private Limited,连接器,服务器与电子制造,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300625&lang=1&reg=48
2026-08-17,2026-09-24,SFO Technologies Private Limited,光收发器 SFP,服务器与电子制造,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300625&lang=1&reg=48
2026-08-17,2026-09-24,GX Quantum Photonics Private Limited,光收发器 SFP,服务器与电子制造,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300625&lang=1&reg=48
2026-08-17,2026-09-24,Huber Suhner Electronics Private Limited,光收发器 SFP,服务器与电子制造,未在本条公告单独注明,官方公布获批,官方公告所述为项目获批，实际产能与投产进度需另行核实。,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300625&lang=1&reg=48
