date,publishedAt,checkedAt,title,category,kind,sourceType,sourceLabel,sourceUrl,tags,excerpt,takeaway,verification,slug
2025-03-28,2025-03-28,2026-09-24,"印度批准电子元器件制造计划：初始资金 ₹22,919 crore",产业政策,政策原始资料,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2116174&lang=2&reg=48,产业政策 / 电子制造,印度政府宣布支持本土电子元器件生态，计划以补贴吸引国内外投资。,关注 PCB、基础材料、电子部件及制造设备的补贴适用条件；获批预算不等于所有资金已发放。,原始来源可核对；企业实际进度须另行核实,ecms-launch-2025
2025-09-26,2025-09-26,2026-09-24,印度对中国来源的特定 PCB 工具发起反倾销调查,贸易与合规,调查进展,监管案件,印度贸易救济总局 DGTR,https://www.dgtr.gov.in/en/anti-dumping-cases/anti-dumping-investigation-concerning-imports-printed-circuit-board-tools,PCB工具 / 反倾销 / 贸易救济,印度贸易救济总局公布 PCB Tools 反倾销调查，产品范围与调查程序应以原始通知为准。,相关出口企业应核对产品描述、海关编码、调查期限及后续官方公告；立案不等于最终征税。,原始来源可核对；适用情形须核对最新文本,pcb-trade-investigation-2025
2025-10-27,2025-10-27,2026-09-24,印度首批七个 ECMS 项目获批，涉及 PCB 与覆铜板,PCB / PCBA,获批项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2182986&lang=2&reg=3,PCB / PCBA / 电子制造,"官方宣布首批七个电子元器件项目获批，计划投资合计 ₹5,532 crore。",区分获批项目、在建项目、实际投产与稳定量产，不要把规划产能直接视为现有产量。,原始来源可核对；企业实际进度须另行核实,ecms-first-seven-pcb-2025
2025-11-17,2025-11-17,2026-09-24,印度 ECMS 第二批批准 17 个制造项目,服务器与电子制造,获批项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2190872&lang=2&reg=3,服务器与电子制造 / 电子制造,印度官方公布第二批电子元器件制造项目，披露计划投资、预期产出和就业等指标。,追踪供应链迁移时，应以项目具体产品和企业后续投产披露为准。,原始来源可核对；企业实际进度须另行核实,ecms-second-tranche-2025
2026-02-03,2026-02-03,2026-09-24,"印度 2026—2027 财年将 ECMS 总资金提高至 ₹40,000 crore",产业政策,政策原始资料,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222519&lang=1&reg=22,产业政策 / 电子制造,"印度预算相关资料披露 ECMS 资金规模由最初的 ₹22,919 crore 提升至 ₹40,000 crore。",关注政策预算、实际项目审批与激励兑现三者的差别；不要将预算增量直接等同于新增补贴发放。,原始来源可核对；企业实际进度须另行核实,ecms-budget-2026
2026-02-28,2026-02-28,2026-09-24,美光宣布印度萨南德半导体封装测试工厂正式开业,半导体,企业官方披露,企业公告,Micron 官方投资者公告,https://stage-investors.micron.com/news/press-release/2026/Micron-Celebrates-Opening-of-Indias-First-Semiconductor-Assembly-and-Test-Facility-02-28-2026/default.aspx,DRAM / NAND / 封装测试 / 半导体,美光披露印度萨南德工厂启用，并说明项目从其全球制造网络接收晶圆进行封装和测试。,企业在印度有制造设施，不意味着第三方招商人员拥有特定芯片的供货授权；仍需验证具体型号、合同及出口合规。,原始来源可核对；企业实际进度须另行核实,micron-sanand-2026
2026-03-30,2026-03-30,2026-09-24,印度 ECMS 再批准 29 个电子元器件项目,服务器与电子制造,获批项目,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2247040&lang=1&reg=1,服务器与电子制造 / 电子制造,政府公告披露新一批 29 个项目及投资、预期就业和生产领域。,建立按产品和地区划分的项目台账，比仅跟踪招商口号更适合供应链研究。,原始来源可核对；企业实际进度须另行核实,ecms-29-projects-2026
2026-07-01,2026-06-01,2026-09-24,中国《国务院关于对外投资的规定》施行：技术转移与安全审查需分开核对,贸易与合规,法规原文,政府原始资料,中国政府网,https://big5.www.gov.cn/gate/big5/www.gov.cn/zhengce/content/202606/content_7070755.htm,跨境合规 / 贸易政策,国务院令第 837 号自 2026 年 7 月 1 日起施行，对外投资及相关安全事项有明确规定。,不能把通用对外投资规定误写为全面禁止赴印度投资；具体技术输出需结合出口管制和项目情况判断。,原始来源可核对；适用情形须核对最新文本,china-outbound-investment-2026
2026-08-17,2026-08-17,2026-09-24,截至 2026 年 8 月，印度 ECMS 累计获批 106 个项目,产业政策,产业数据,政府原始资料,印度政府新闻局 PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2300625&lang=1&reg=48,ECMS / 项目投产 / 产业数据,印度政府披露电子元器件计划进展，其中 38 座工厂开始运营。,将获批、在建和投产项目分别跟踪，避免将计划投资与已完成投资混用。,原始来源可核对；企业实际进度须另行核实,ecms-progress-august-2026
2023-01-02,2023-01-02,2026-09-24,印度对中国及香港来源 PCB 启动反倾销调查,PCB / PCBA,贸易救济案件,监管案件,印度贸易救济总局 DGTR,https://www.dgtr.gov.in/en/anti-dumping-cases/initiation-anti-dumping-investigation-concerning-imports-printed-circuit-boards,PCB / 反倾销 / 贸易救济,印度贸易救济总局公布针对特定印制电路板产品的调查立案及案件编号。,企业核对涉案产品范围、后续裁定及当前税则，不要把两起 PCB 相关案件混为一谈。,已核对原始公告；项目与政策后续状态需持续跟踪,pcb-antidumping-initiation-2023
